Institution,Year,Researchers,Supervisors,Publications,Rcenters,Projects
65,2012,6,1.7,12,3,1
65,2013,7.1,1.7,14,3,3
65,2014,8.4,1.7,15,3,1
65,2015,7.9,1.7,19,3,2
65,2016,8.7,1.7,28,3,5
66,2011,13.9,9.5,19,3,2
66,2012,16.7,11,29,3,4
66,2013,16.8,11,33,3,4
66,2014,21.2,11,37,3,6
66,2015,20.7,11,45,3,7
66,2016,20.9,11,50,3,8
67,2011,12.9,9,23,3,3
67,2012,14,10,32,3,5
67,2013,15.2,10,35,3,5
67,2014,14.8,10,37,3,5
67,2015,15.9,10,37,3,5
67,2016,14.7,10,39,3,5
68,2011,14.9,10.5,30,3,4
68,2012,15.7,11,37,3,5
68,2013,19.9,24,46,3,7
68,2014,19.6,11,52,3,8
68,2015,19.8,11,58,3,10
68,2016,21.1,11,59,3,10
69,2011,24.9,14,38,3,10
69,2012,28.8,14,49,3,9
69,2013,29.5,14,52,3,10
69,2014,28,14,55,3,11
69,2015,25.7,14,57,3,14
69,2016,25.4,14,60,3,14
70,2011,21.9,10,44,3,7
70,2012,23.3,10,49,3,8
70,2013,20.7,10,51,3,9
70,2014,24.3,10,62,3,10
70,2015,28.2,10,71,3,11
70,2016,29,10,73,3,11
71,2011,7.9,4.6,21,2,2
71,2012,9.1,4.6,23,2,2
71,2013,9.2,5.6,26,2,3
71,2014,9.8,5.6,27,2,4
71,2015,7.7,5.6,27,2,4
71,2016,9.7,5.6,31,2,4
72,2011,18.9,8,34,3,5
72,2012,20.2,7.7,43,3,6
72,2013,25,10,48,3,7
72,2014,25.6,10,53,3,8
72,2015,32.1,10,63,3,10
72,2016,31.5,10,66,3,10
73,2011,14.2,12,41,3,4
73,2012,15.9,12,44,3,5
73,2013,16.9,12,49,3,7
73,2014,18.3,12,51,3,8
73,2015,20.2,12,52,3,8
73,2016,19,12,54,3,9
74,2011,9.9,6,19,3,2
74,2012,11.1,6,23,3,3
74,2013,12.4,6.5,29,3,4
74,2014,16.5,6.5,39,3,5
74,2015,18.5,6.5,42,3,6
74,2016,19.5,6.5,45,3,7
75,2011,15.9,11,29,3,2
75,2012,18.9,11,32,3,3
75,2013,16.7,11,35,3,3
75,2014,17.9,11,43,3,4
75,2015,19.9,11,58,3,6
75,2016,23.3,13,64,3,7
76,2011,20.9,16,50,3,6
76,2012,21.4,13,54,3,6
76,2013,23.9,13,59,3,7
76,2014,25.6,16,64,3,8
76,2015,24,13,64,3,7
76,2016,29.7,23,80,3,12
77,2011,20.9,10,40,3,5
77,2012,23,12,50,3,6
77,2013,26.3,12,54,3,7
77,2014,27.9,12.5,68,3,9
77,2015,28.4,15,68,3,10
77,2016,28.9,12.5,71,3,9
78,2011,16.9,10,34,3,4
78,2012,17.4,10,39,2,5
78,2013,19.2,10,41,2,5
78,2014,19.7,10,47,2,5
78,2015,19.8,10,47,2,6
78,2016,24.1,10,64,3,6
79,2011,15.6,10.5,29,3,3
79,2012,13.7,14,31,3,3
79,2013,17.6,14,32,3,2
79,2014,17.4,14,33,3,3
79,2015,17.3,16,37,3,3
79,2016,18.4,16,37,3,4
80,2011,51.4,24,106,4,14
80,2012,52.3,24,117,4,17
80,2013,50.7,24,124,4,20
80,2014,51,24,134,4,17
80,2015,60,24,164,4,22
80,2016,69.4,24,190,4,28
81,2011,31.3,16.5,74,4,7
81,2012,33.9,16.5,88,4,8
81,2013,35.5,18,93,4,12
81,2014,37.3,16.5,104,4,14
81,2015,35.3,16.5,106,4,20
81,2016,37.4,16,110,4,16
82,2011,17.2,11,34,3,4
82,2012,17.6,15.2,37,3,3
82,2013,19,11,40,3,4
82,2014,20.7,8.4,40,3,3
82,2015,22.1,8.5,42,3,3
82,2016,21.3,12,43,3,5
83,2011,16.8,12.5,26,3,3
83,2012,16.7,12.5,30,3,3
83,2013,19.3,12.5,32,3,3
83,2014,21.2,10,32,3,3
83,2015,19.5,10,33,3,3
83,2016,19.4,10,35,3,3
84,2011,17.6,8,31,3,3
84,2012,16.8,8,36,3,4
84,2013,18.8,8,38,3,3
84,2014,16.6,8,40,3,4
84,2015,19.9,10,41,3,4
84,2016,18.2,10,44,3,5
85,2011,31.8,15.8,55,3,5
85,2012,34.2,16,60,3,9
85,2013,33,16,61,3,15
85,2014,32.4,15.8,64,3,5
85,2015,29.4,15.8,66,3,6
85,2016,26,15.8,68,3,5
86,2011,31,26.5,71,4,7
86,2012,34.9,26.5,72,4,8
86,2013,33.7,26.5,89,4,12
86,2014,37.2,26,105,4,15
86,2015,41.8,27,124,4,16
86,2016,46.2,27,131,4,19
87,2011,19.3,10,55,3,6
87,2012,19,10,61,3,8
87,2013,19.7,10,63,3,8
87,2014,21.4,9,67,3,8
87,2015,19.6,10,73,3,6
87,2016,21.5,10,73,3,8
88,2011,20.9,8.9,40,4,4
88,2012,23.9,11.7,70,4,9
88,2013,25.7,11.5,74,4,7
88,2014,28.6,11.5,88,4,11
88,2015,28.2,16,102,4,14
88,2016,33.7,16,107,4,14
89,2011,13.9,9.5,34,3,5
89,2012,15,9.5,37,3,7
89,2013,15.7,14,41,3,5
89,2014,16.1,8.9,42,3,6
89,2015,14.1,8.9,42,3,6
89,2016,15.6,9.5,45,3,7
90,2011,3.2,10,13,3,1
90,2012,7.7,8.8,17,3,2
90,2013,7.5,8.7,18,3,2
90,2014,6.2,8.9,18,3,2
90,2015,6.4,10,18,3,1
90,2016,7.5,10,20,3,2
91,2011,19.7,18.8,42,3,4
91,2012,22.9,18.8,52,3,8
91,2013,26.2,15.5,66,3,13
91,2014,25.9,18.8,69,3,12
91,2015,27.1,18.8,71,3,10
91,2016,26.2,18.8,74,3,7
92,2011,12.6,10,27,3,2
92,2012,13.7,15,28,3,2
92,2013,11.7,10,30,3,3
92,2014,19.4,10,43,3,6
92,2015,24,18,51,3,6
92,2016,26.7,18,55,3,9
93,2011,26.5,14,57,3,6
93,2012,25.9,11.5,57,3,7
93,2013,27.1,14,58,3,8
93,2014,25.3,14,61,3,9
93,2015,26.5,11.5,67,3,6
93,2016,27.1,11.5,71,3,9
94,2011,19.9,7,49,3,5
94,2012,20.3,7,53,3,7
94,2013,24,7,56,3,7
94,2014,21.5,7,60,3,8
94,2015,30.4,19,89,3,10
94,2016,35,19,113,3,15
95,2011,8.7,4.3,16,2,2
95,2012,6.2,4.5,17,3,2
95,2013,6.9,4,17,3,2
95,2014,8.3,4.4,17,3,3
95,2015,6.1,4.5,17,3,2
95,2016,7.3,4.4,18,2,2
96,2011,12.8,9.5,21,4,3
96,2012,16.2,11.5,40,4,5
96,2013,21.2,13.7,54,4,7
96,2014,29.4,9.5,78,4,9
96,2015,33.5,13.9,98,4,13
96,2016,39.8,13.2,121,4,18
97,2011,21.5,15.9,41,3,4
97,2012,21.7,12,49,3,4
97,2013,21.4,15,53,3,6
97,2014,24.6,13.5,57,3,7
97,2015,23,15,58,3,6
97,2016,23.2,13,65,3,11
98,2011,19.4,13.4,40,3,3
98,2012,20.6,13,44,3,4
98,2013,22,14,45,3,4
98,2014,21.3,13,46,3,5
98,2015,22.1,13,48,3,6
98,2016,21.1,13,51,3,6
99,2011,14.3,7,27,3,4
99,2012,15.7,7.9,34,3,4
99,2013,16.4,7.9,36,3,4
99,2014,16,7.9,37,3,4
99,2015,16.2,10,38,3,7
99,2016,21.2,10,45,3,6
100,2011,14.5,4.3,28,3,2
100,2012,15,6.4,29,3,2
100,2013,15.7,6.8,37,3,4
100,2014,18.4,5.3,49,3,5
100,2015,20.1,5.5,53,3,7
100,2016,21.3,6.1,54,3,7
101,2011,15.2,10,38,3,3
101,2012,14.8,10,40,3,3
101,2013,14.8,10,40,3,4
101,2014,15.4,12.8,43,3,5
101,2015,16.4,10,46,3,5
101,2016,16,10,47,3,5
102,2011,19.7,13.2,41,3,7
102,2012,20.5,13.3,42,2,6
102,2013,18.9,13.2,42,2,6
102,2014,26.3,13.2,79,3,12
102,2015,35.7,18,118,3,23
102,2016,51.1,13,163,3,28
103,2011,40,13,87,4,13
103,2012,40.9,13,88,4,10
103,2013,46.8,13,101,4,18
103,2014,45.2,13,132,4,19
103,2015,44.5,15,133,4,21
103,2016,45.7,15,139,4,17
104,2011,21.6,9,40,3,5
104,2012,21.9,8.5,51,3,7
104,2013,22.6,9,54,3,7
104,2014,23.3,10,54,3,7
104,2015,22.3,10.5,55,3,8
104,2016,24.9,9,55,3,9
105,2011,9.7,7,16,2,3
105,2012,8.9,7,17,3,3
105,2013,10.4,7,17,2,2
105,2014,9.8,12.5,18,3,3
105,2015,11.2,12,19,2,3
105,2016,9.2,12,21,3,3
106,2011,12.2,11,27,3,4
106,2012,13.4,13,27,3,3
106,2013,13.2,13,28,3,3
106,2014,13,11,30,3,3
106,2015,17.4,14,34,3,4
106,2016,21.6,14,43,3,5
107,2011,35,16,74,4,7
107,2012,37.3,16,84,3,9
107,2013,38.6,16,90,3,11
107,2014,47.4,16,111,3,14
107,2015,47.7,16,118,3,18
107,2016,50.7,16,131,3,20
108,2011,20.3,11.5,45,4,4
108,2012,24.2,11.5,57,4,6
108,2013,24.7,12,62,3,6
108,2014,25.4,11,64,4,6
108,2015,23.6,11.5,68,3,7
108,2016,28.8,10.5,71,4,11
109,2011,43.9,32,78,4,8
109,2012,46.8,32,88,4,10
109,2013,53.5,29.2,98,4,13
109,2014,57.8,32,112,4,17
109,2015,57.6,34,128,4,20
109,2016,56.2,43.1,131,5,21
110,2011,13.7,13,34,2,4
110,2012,14.9,13,35,2,4
110,2013,17.3,11,39,2,4
110,2014,14.2,13,39,2,4
110,2015,17.9,13,44,2,5
110,2016,15.9,13,45,2,4
111,2011,16.9,8,34,2,4
111,2012,16.2,7.6,37,2,5
111,2013,16.2,8,39,2,6
111,2014,23.1,10,44,2,6
111,2015,20.7,10,53,2,7
111,2016,21.2,10,55,3,7
112,2011,9.9,9,16,2,1
112,2012,9.9,9,17,2,1
112,2013,12.5,9,19,2,1
112,2014,11.2,7,19,2,1
112,2015,13.2,9.5,20,2,1
112,2016,12.9,9,20,2,1
113,2011,7.9,6,17,2,1
113,2012,12.2,6,32,2,3
113,2013,14.2,6,40,2,5
113,2014,16.9,7,49,2,8
113,2015,18.8,8,53,2,7
113,2016,22.9,17.6,69,3,10
114,2011,14.9,6,30,3,2
114,2012,15.4,6,36,3,4
114,2013,16.7,6,39,3,4
114,2014,18.7,7,42,3,4
114,2015,17.3,6,42,3,4
114,2016,18.4,8,45,2,5
115,2011,4.2,4.5,13,2,1
115,2012,3.9,4.5,13,2,1
115,2013,5.3,4.5,14,2,1
115,2014,4.9,4.5,15,2,1
115,2015,5.9,5.5,15,2,1
115,2016,6.9,4.5,17,2,1
116,2011,11.9,12,24,3,2
116,2012,13.4,12,29,3,2
116,2013,22,6,41,3,6
116,2014,21,6,47,3,7
116,2015,22.2,7,48,3,4
116,2016,22.7,16,50,3,5
117,2011,11.9,8,23,3,2
117,2012,11.7,8,24,3,2
117,2013,13.4,10,25,3,2
117,2014,15,8,26,3,2
117,2015,12.7,8,26,3,3
117,2016,14.4,10,32,2,4
118,2011,7.9,3,15,2,2
118,2012,8.8,3,16,2,2
118,2013,7.8,3.5,17,2,2
118,2014,8.7,4,18,2,3
118,2015,8.1,3,18,2,2
118,2016,8.2,5,20,2,3
119,2011,3.9,7,10,3,1
119,2012,6.3,6,13,3,1
119,2013,4.9,7,14,3,1
119,2014,6.3,7,14,3,1
119,2015,6.9,7,14,3,1
119,2016,7,7,14,3,1
120,2011,7.9,4.5,13,2,1
120,2012,7.9,7,15,2,2
120,2013,7.9,4.2,16,2,1
120,2014,9,4.5,16,2,1
120,2015,8.8,4.5,16,2,1
120,2016,8,4.5,16,2,1
121,2011,15.9,9.5,31,3,2
121,2012,15.9,9.5,31,3,2
121,2013,17.8,10,38,3,3
121,2014,15.1,9.5,38,3,2
121,2015,17.7,9.5,39,3,2
121,2016,34.2,23,67,4,5
122,2011,9.9,10,18,3,1
122,2012,9.7,10,20,3,1
122,2013,10.2,10,20,3,1
122,2014,10.9,10,22,3,1
122,2015,11.9,10,24,3,1
122,2016,9.9,11,24,3,1
123,2011,10.9,5,19,2,2
123,2012,8.6,5,20,2,2
123,2013,10.9,5,24,2,2
123,2014,12,5,24,2,2
123,2015,10.9,5,26,2,3
123,2016,14.1,5,32,3,4
124,2011,6.9,4.5,12,3,1
124,2012,6.9,4.5,14,3,1
124,2013,7.6,4.5,15,3,1
124,2014,10.2,4.5,16,3,1
124,2015,8.1,10,18,2,1
124,2016,11.6,5,18,3,1
125,2011,7.9,7.8,16,2,1
125,2012,8.2,7.8,18,2,1
125,2013,8.9,7.8,20,2,2
125,2014,9.8,7.8,22,2,2
125,2015,11.5,8,24,2,2
125,2016,13.2,8,33,2,2
126,2011,8.9,10,17,2,2
126,2012,9.7,10,22,2,3
126,2013,10.1,10,25,2,2
126,2014,12.9,10,28,2,3
126,2015,15.8,11,33,2,5
126,2016,19.7,18,42,2,7
127,2011,6.9,4,14,3,1
127,2012,11.7,5,22,3,2
127,2013,11.1,4,22,3,2
127,2014,11.2,8,23,3,2
127,2015,10.9,4,24,3,2
127,2016,10.9,4,24,3,2
128,2011,14.9,12,22,2,3
128,2012,14.6,12,27,2,3
128,2013,15,12,28,2,3
128,2014,14.7,12,28,2,3
128,2015,14.4,12,29,2,3
128,2016,16.4,16,31,2,4
129,2011,16.9,18.8,38,3,4
129,2012,16.9,20,47,3,5
129,2013,20.4,20,56,3,6
129,2014,24,20,63,3,8
129,2015,24.4,20,72,3,9
129,2016,33.3,18,97,3,13
130,2011,10.1,6,23,3,3
130,2012,9.9,6,24,3,3
130,2013,10.7,6,24,3,2
130,2014,10.9,6,25,3,3
130,2015,10.8,6,27,3,3
130,2016,11.4,11,28,3,3
131,2011,13.9,9,33,3,4
131,2012,14.2,9,36,3,5
131,2013,15.1,8.5,41,3,5
131,2014,16.5,9,41,3,5
